incubator,location,incubee,current_incubatees,graduated_incubatees
Amity Technology Incubator,Noida Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60ab8158e4b0e73e1e63149e.html,0,0
i-RISE (TBI-IISER Mohali),Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60ab4347e4b0e73e1e62d653.html,0,0
ASSOCIATION FOR INCUBATION AND BUSINESS ACCELERATORS OF INDIA,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a91e4fe4b0e73e1e61543b.html,0,0
Prakousol NIT Arunachal Pradesh,Papum Pare Arunachal Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a8d2ade4b0e73e1e61389b.html,0,0
DPSRU Innovation and Incubation Foundation,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a8b60be4b0e73e1e61277f.html,0,0
SSIIE-TBI,Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a75117e4b0e73e1e606654.html,0,0
RESEARCH INNOVATIONS SPONSORED PROJECTS & ENTREPRENEURSHIP(RISE),Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a61e18e4b0e73e1e5f6257.html,0,0
AIC BAMU Foundation,Aurangabad Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60a60a4fe4b0e73e1e5f59ed.html,0,0
Starburst Aerospace,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609fed19e4b0286b84466e61.html,0,0
Maker Village,Ernakulam Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609f8458e4b0286b84464540.html,0,0
Kalasalingam Academy of Research and Education,Srivilliputhur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609e428ee4b0286b84458b40.html,0,0
NGI TBI,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609e385de4b0286b844587f8.html,0,0
National CoE for Cyber Security Technology Development & Entrepreneurship,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609cdcf7e4b0286b84450a92.html,0,0
Sigma Entrepreneurship Development & Incubation Centre (SEDIC),Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6098e3f8e4b04486ed6ddb58.html,0,0
AICNitte Incubation Centre,Udupi Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6098c8c5e4b04486ed6dcaa3.html,0,0
Manipal GoK Bioincubator,Udupi Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60978272e4b04486ed6d799a.html,0,0
K-tech CoE Aerospace & Defence,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6094ee9ee4b04486ed6c8d4e.html,0,0
Starthub Nation,Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6093b3a6e4b04486ed6c1686.html,0,0
IIT Ropar TBIF,Rupnagar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60924f89e4b04486ed6b877f.html,0,0
Villgro Innovations Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.609207dce4b0d06491dd9f25.html,0,0
AIC NMIMS,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6090f773e4b0d06491dd3d9b.html,0,0
DALIT INDUSTRIES ASSOCIATION,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.608bcd62e4b0d06491db8381.html,0,0
CIIE CTTC Bhubaneswar,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60891244e4b0d06491da56d8.html,0,0
RTBI JECRC,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6086a2afe4b0d2ddc90c80a8.html,0,0
Centre for Incubation and Business Acceleration,Marmagao Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60869ab3e4b0d2ddc90c7c41.html,0,0
Chitkara Innovation Incubator Foundation,Chandigarh Chandigarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6086962ae4b0d2ddc90c7a44.html,0,0
Centre for Advancing and Launching Enterprises - CrAdLE,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.608660c3e4b0d2ddc90c3e64.html,0,0
IIML Enterprise Incubation Center,Noida Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.608175f6e4b0d2ddc90abe95.html,224,70
AIC-MIT ADT Incubator Forum,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.608171d7e4b0d2ddc90abd14.html,0,0
T-Hub Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60816469e4b0d2ddc90ab74c.html,0,0
AICGIM,North Goa Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6081218ee4b0d2ddc90a9458.html,0,0
Crescent Innovation and Incubation Council,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.608023a9e4b0d2ddc90a3a76.html,0,0
Dayananda Sagar Entrepreneurship Research and Business Incubation (DERBI ) Foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607ff722e4b0d2ddc90a18de.html,0,0
Technology Business Incubator- Graphic Era University,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607ea648e4b0d2ddc909ad4d.html,0,0
KBCNMU Centre for Innovation Incubation and Linkages,Jalgaon Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e8bb6e4b0d2ddc909a4e2.html,0,0
IIITD Innovation and Incubation Center,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e81fce4b0d2ddc909a189.html,0,0
GU INCUBATION INNOVATION TECHNOLOGY AND APPLIED RESEARCH COUNCIL,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e6cb1e4b0d2ddc9099975.html,0,0
IISC Knit Sultanpur,Sultanpur Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e5813e4b0d2ddc90992d4.html,0,0
Innovative Entrepreneurship Development Center (IEDC),Shirpur-Warwade Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e4253e4b0d2ddc9099012.html,0,0
IIMK LIVE,Kozhikode Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607e3264e4b0d2ddc9098f23.html,0,0
CVRCE Technology Innovation Foundation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607d8641e4b0d2ddc909802e.html,0,0
Catalyst Atal Incubation Centre,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607d6d24e4b0d2ddc9097a10.html,0,0
R-ABI Mizoram,Aizawl Mizoram,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6077d996e4b0d2ddc906d9ed.html,0,0
Mayur kundan nikure,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60743232e4b0d2ddc9055431.html,0,0
ACIC RISE ASSOCIATION,Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6073de7ae4b0d2ddc905256e.html,0,0
NSRCEL IIMB,Krishnagiri Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60708932e4b0d2ddc9037ec5.html,0,0
EDII Tiruchirappalli Agribusiness Incubation Forum,Tiruchirappalli Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.607024dce4b0d2ddc9032cdb.html,0,0
Agri and Food Business Incubator,Anand Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.606ef19de4b0d2ddc902ab88.html,0,0
Mahatma Education Society's Pillai Centre of Innovation and Entrepreneurship,Panvel Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.606ac22de4b0729936bd3dd6.html,0,0
KALCHURI LNCT GROUP INCUBATION CENTER,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.605875c8e4b03f92cbcc26fe.html,0,0
EdVenture Incubation Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60530f18e4b03f92cbc9ab5b.html,0,0
Sharda Launchpad Foundation,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60518f00e4b03f92cbc8e38a.html,0,0
VCorp,Ghaziabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6050ba53e4b03f92cbc8b787.html,0,0
MIET Incubation Forum,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60508d47e4b03f92cbc8a328.html,0,0
AIC-Prestige Inspire Foundation,Indore Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.604f3a63e4b03f92cbc7faa7.html,0,0
Atal Incubation Centre - Pondicherry Engineering College Foundation,Pondicherry Puducherry,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60434b03e4b03f92cbc2b679.html,0,0
SCIFI IIM Lucknow,Lucknow Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.604084abe4b03f92cbc1e81b.html,0,0
FabCi IIT Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60335a44e4b017a8daede211.html,0,0
INURTURE INCUBATION FOUNDATION,Ghaziabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.602bb503e4b0e02b2d4253b6.html,0,0
wolk india,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.602b623ce4b0e02b2d421d54.html,0,0
NEC Business Incubator,Thoothukudi Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.602a9cf6e4b07bc22e796974.html,0,0
BIL-Ryerson Technology Startup Incubator Foundation (BRTSIF),Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6028d16ce4b07bc22e7877db.html,0,0
PC IEDC,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60263396e4b07bc22e77aef6.html,0,0
North East Agriculture Technology Entrepreneurs Hub,Jorhat Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.602616a7e4b07bc22e779da9.html,0,0
INDRADHANUSH TBI,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6020da98e4b07bbc25b9463e.html,0,0
NRRI-ABIs,Cuttack Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.601cee12e4b07bbc25b7fdfa.html,0,0
SIIF (SSCBS Innovation and Incubation Foundation),Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.601cd42ce4b07bbc25b7ed0c.html,0,0
Malla Reddy Foundation for Research and Innovation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.601a6e88e4b07bbc25b6f5c0.html,0,0
COF RABI,Agartala Tripura,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6017c4e2e4b07f8f9d0283cc.html,0,0
K-tech Innovation Hub NASSCOM,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6016cdd1e4b0ba5b7b2db6af.html,0,0
Gopalakrishnan-Deshpande Centre for Innovation & Entrepreneurship,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.601696d6e4b0ba5b7b2d9e7d.html,0,0
Ganpat University Incubation Centre,Mehsana Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6016403ee4b0ba5b7b2d72b5.html,0,0
IIITH Foundation (CIE IIIT Hyderabad),Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60158cf6e4b0ba5b7b2d2994.html,0,0
Parul Innovation and Entrepreneurship Research Centre,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60151c8ce4b0ba5b7b2cd78d.html,0,0
AIC N/Core,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6014c7b3e4b0ba5b7b2ca227.html,0,0
Bihar Industries Association,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6013a97ae4b00171cb726999.html,0,0
Osmania Technology Business Incubator,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60126bf8e4b00171cb7206f8.html,0,0
T Works Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60125761e4b00171cb71f5e3.html,0,0
CIET-TBI,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60125127e4b00171cb71f1e1.html,0,0
91springboard,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.600e534ae4b06d1acbcc3a29.html,0,0
UPES Council for Innovation and Entrepreneurship,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.600a8474e4b0c081f74bc6ad.html,0,0
RKVY-RAFTAAR Agri Business Incubator,Varanasi Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.600918d5e4b0c081f74b1c55.html,0,0
ATAL INCUBATION CENTER GUJARAT TECHNOLOGICAL UNIVERSITY,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.600802b0e4b0c081f74aa5d9.html,0,0
Centre for Advancing and Launching Enterprises,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.60057884e4b0c081f749fb57.html,0,0
Atal Incubation Hub HBTU,Kanpur Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5ffba245e4b0c081f74684a3.html,0,0
AIC-ISE FOundation,Mehsana Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5ff93e75e4b0c081f745c2d4.html,0,0
GoBizLab - Centre for Innovation & Entrepreneurship Development,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5ff55fe3e4b072ce664166c9.html,0,0
Mizoram University BioNEST,Aizawl Mizoram,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5ff08ea4e4b072ce66400b97.html,0,0
NAIN-New Age Innovation Network Center. SDM College of Engineering and Technology. Dharwad-580 002.,Dharwad Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fed7163e4b072ce663f2d38.html,0,0
New Age Innovation Network [NAIN] Centre - NMAM Institute of Technology Nitte,Udupi Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fec89b9e4b072ce663ee555.html,0,0
GLOBAL INCUBATION SERVICES,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fec357ee4b072ce663eb58b.html,0,0
NAIN District Innovation Hub at The National Institute of Engineering,Mysuru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5feaeface4b072ce663e3eb2.html,0,0
AIIRF-EDII {Annamalai Innovation and Incubation Research Foundation},Cuddalore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe88058e4b0db7e4f386e96.html,0,0
NAIN Centre at PACE,Mangaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe802c7e4b0db7e4f383e5d.html,0,0
New Age Innovation Network Center Sahyadri College of Engineering and Management,Mangaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe720a5e4b0db7e4f37f4d4.html,0,0
New Age Innovation Network [NAIN] Bapuji Institute of Engineering & Technology,Davanagere Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe6b553e4b0db7e4f37b20d.html,0,0
ASPIREBIONEST,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe36f48e4b0db7e4f36a6e1.html,0,0
Virtual Pitching by Indian Startups in Agri Value Chain and Processing Sector,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fe04902e4b02aea237a9448.html,0,0
K-Tech Innovation Hub New age Innovation Network(NAIN) Center,Kalaburagi Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fd9d84be4b0776e0c562abd.html,0,0
AIC-NMIMS,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fd99a12e4b0776e0c560849.html,0,0
NIFT Foundation for Design Innovation,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fd313b9e4b0da94c37b8f54.html,0,0
Yenepoya Technology Incubator,Mangaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fc8bccee4b03d376efe4772.html,0,0
Crest Innovations Foundation,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fc0d601e4b016b44cb39757.html,0,0
NICE Program,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fb76130e4b01f96edfcbe3a.html,0,0
CIIE.CO,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fb3bc08e4b01f96edfb811e.html,0,0
Centre for Innovation Technology Transfer and Industry Collaboration CUSAT-TBI,Kochi Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fb26187e4b01f96edfb11a9.html,0,0
JECRC Incubation Centre,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5fae5487e4b01f96edfa01af.html,0,0
AFBIC IITKGP,Kharagpur West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f9ff2abe4b08c3f81700c6a.html,0,0
603 The CoWorking Space India,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f9fc39be4b08c3f816fff60.html,0,0
YCCE TBI Foundation,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f9b9d81e4b0b8210420706f.html,0,0
SBRR Mahajana First Grade College,Mysuru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f93e8bce4b03d32765a508d.html,0,0
PERIYAR UNIVERSITY BUSINESS INCUBATION CONFEDERATION,Salem Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f92c258e4b03d32765a12b4.html,0,0
New Age Innovation Network[NAIN]-Rao Bahadur Y Mahabaleshwarappa College Of Engineering -,Ballari Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f92bc88e4b03d32765a10bf.html,0,0
SIIE SRISTI BioNEST,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f8d7e46e4b03d327658d251.html,0,0
ARTILAB Foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f882e56e4b0cbc0da82547c.html,0,0
AIC CCRI CED,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f881519e4b0cbc0da824ce4.html,0,0
SJCE NAIN,Mysuru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f86d6c6e4b0cbc0da821556.html,0,0
MITE NAIN INCUBATION CENTER,Mangaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f8694c9e4b0cbc0da82003b.html,0,0
AIC-SMU Technology Business Incubation Foundation (AIC-SMUTBI),Gangtok Sikkim,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f745bc1e4b0cbc0da7e8c6e.html,0,0
IIMUIC,Udaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f6dc7a0e4b063729925d9cd.html,0,0
Technology Business Incubator - NIET,Noida Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f60639ce4b094dd1b6708eb.html,0,0
World Youth Heart Federation,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f5a7ed5e4b094dd1b65e513.html,0,0
Nexus Incubator Hub,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f5896a3e4b094dd1b6571e7.html,0,0
DareToDream,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f229586e4b0610341e9bd3d.html,0,0
IISU Incubation Centre,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5f04302ae4b022bc24fa7bed.html,0,0
Amit Singal,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5ec8bb66e4b0e7503397f6d3.html,0,0
StartupVisors,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5eaff956e4b03286995c3891.html,0,0
AIC Nalanda Institute of Technology Foundation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e9fa0e3e4b0363cb6332b39.html,0,0
IIMV Foundation for Incubation Entrepreneurial Learning and Development,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e871f90e4b055bfaeaad856.html,0,0
Savli Technology and Business Incubator,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e871969e4b055bfaeaad7f3.html,0,0
Centre for Innovation & Entrepreneurship,Shivamogga Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e86b511e4b055bfaeaad11a.html,0,0
SPPU Research Park Foundation,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e85f8e3e4b055bfaeaacd01.html,0,0
Samruddhi TBI Foundation,Sangli Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e856a49e4b055bfaeaac369.html,0,0
MIT Pune TBI,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e83838de4b055bfaeaaaf9e.html,0,0
BVCIE PATNA,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e836b0ce4b055bfaeaaae4c.html,0,0
IIMT UNIVERSITY MEERUT,Meerut Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e8359b8e4b055bfaeaaacf0.html,0,0
MaDeIT Innovation Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e833e98e4b055bfaeaaaa83.html,0,0
NETRARIT FOUNDATION - NRiT,Sangli Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e8330a5e4b055bfaeaaa93a.html,0,0
Technology Business Incubator Narula Institute of Technology,Kolkata West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e82fdd9e4b055bfaeaaa25f.html,0,0
Agri Business Incubation Society,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e82fa01e4b055bfaeaaa20a.html,0,0
Narayana Engineering College Gudur,Gudur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e82f903e4b055bfaeaaa1e6.html,0,0
NIKHIL SHARMA,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e82e9a8e4b055bfaeaaa07b.html,0,0
IMI Incubation Foundation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e82e16ae4b055bfaeaa9f83.html,0,0
PSG-Science & Technology Entrepreneurial Park (PSG-STEP),Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e8233f2e4b055bfaeaa9ac6.html,0,0
STARTUPS VALLEY AMAL JYOTHI TBI,Kottayam Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e820cbbe4b055bfaeaa97d5.html,0,0
DPSRU,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81f121e4b055bfaeaa95d1.html,0,0
Centre for Incubation and Business Acceleration,Marmagao Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81cb7be4b055bfaeaa9286.html,0,0
IGNITE - Incubator & Co-Working Space,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81ab4de4b055bfaeaa8fae.html,0,0
METTUPALAYAM AGROFORESTRY BUSINESS INCUBATION FORUM,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81aa04e4b055bfaeaa8f8d.html,0,0
GUWAHATI BIOTECH PARK,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81a841e4b055bfaeaa8f55.html,0,0
Society for Innovation in Entrepreneurship and Dairying (SINED) Technology Business Incubator,Karnal Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e81a252e4b055bfaeaa8e9a.html,0,0
AIC CCMB,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e819f97e4b055bfaeaa8e36.html,0,0
Sir Padampat Singhania University Business Incubator,Udaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e816035e4b055bfaeaa8a2f.html,0,0
IIITD Innovation & Incubation Center,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e80d2dbe4b055bfaeaa852e.html,0,0
GUWAHATI BIOTECH PARK,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e80cce3e4b055bfaeaa84ab.html,0,0
NABARD MABIF,Madurai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e80214ae4b055bfaeaa4899.html,0,0
RCOEM TBI FOUNDATION,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7f901be4b055bfaeaa444a.html,0,0
Propel @ BML Munjal University,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7e87e1e4b055bfaeaa2f30.html,0,0
AIHT-TBI,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7e51bee4b055bfaeaa2e30.html,0,0
NASSCOM Center of Excellence - IoT & AI,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7cb5bde4b055bfaeaa1393.html,0,0
DIT Technology Business Incubator,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7c540ce4b055bfaeaa08aa.html,0,0
NATIONAL RESEARCH DEVELOPEMENT CORPORATION NEW DELHI,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e79d9d4e4b055bfaea9f49d.html,0,0
SSIIETBI2017,Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7854dee4b055bfaea9e6bc.html,0,0
Atal Incubation Center IIITKottaym,Palai Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e77b425e4b055bfaea9e459.html,0,0
Centre for Innovation and Agripreneurship,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e7799a7e4b055bfaea9e398.html,0,0
Sign-In Business Incubator,Siliguri West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e749971e4b055bfaea9c0d4.html,0,0
Integrated Socio-Economic Development Services (ISED Services),Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e747ecbe4b055bfaea9bf0a.html,0,0
NSRCEL,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e746a0ce4b055bfaea9bd64.html,0,0
AIC ALEAP,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5e708224e4b007bcd458d776.html,0,0
